record_id,group,title,source_page_original_link,direct_download_link,local_path,fluorescence,medical_scene,usable_for_training,notes,download_status,error_or_note,size_bytes,sha256,downloaded_at_utc
PMC10807896_S011,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/1ec533b3fe25/jxt-13-e21.00039-s011-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s011.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,65554611,ad42863d430472756af9945db37c08457b10b5daca566ef3dc729f53de4e2def,2026-07-03T14:00:47.4698797Z
PMC10807896_S012,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/5df63b201467/jxt-13-e21.00039-s012-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s012.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,1215300,fc203e0b62da37a76aa764c88beef55c915d413a3cf44ef996c29a0a5dd7c6c8,2026-07-03T14:00:47.4698797Z
PMC10807896_S013,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/544848a787ae/jxt-13-e21.00039-s013-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s013.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,28885378,0cf25c199622dc949d1423576fae85c53dfbe422cf4dbd0ae8a3c57bc0bf3a26,2026-07-03T14:00:47.4698797Z
PMC10807896_S014,osteomyelitis_pmc,Surgical Debridement for Acute and Chronic Osteomyelitis in Children,https://pmc.ncbi.nlm.nih.gov/articles/PMC10807896/,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/2847/10807896/f3f229b54a71/jxt-13-e21.00039-s014-pmcvs_normal.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10807896_child_debridement\jxt-13-e21.00039-s014.mp4,no,pediatric acute/chronic osteomyelitis debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence surgical technique video.,exists,,5449262,f13b6cd053d0b8fd431007d1ef43be4fc197ae9261bca5558fe39dd835ed2611,2026-07-03T14:00:47.4698797Z
PMC12350196_MMC1,osteomyelitis_pmc,Biportal Endoscopic Intramedullary Debridement for Management of Tibial Osteomyelitis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12350196/,https://pmc.ncbi.nlm.nih.gov/articles/instance/12350196/bin/mmc1.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC12350196_tibial_endoscopic_debridement\mmc1.mp4,no,tibial osteomyelitis endoscopic intramedullary debridement,no_labels_demo_or_self_supervised_only,Non-fluorescence technique video.,exists,,32622819,d143a4ff878e508e191ecfedd9b3c0f9bfa3434e5cc63eb6081742db7929113e,2026-07-03T14:00:47.4698797Z
PMC12147590_MMC1,osteomyelitis_pmc,Phalangeal Reaming and Irrigation for Combined Proximal and Distal Phalangeal Osteomyelitis of the Thumb,https://pmc.ncbi.nlm.nih.gov/articles/PMC12147590/,https://pmc.ncbi.nlm.nih.gov/articles/instance/12147590/bin/mmc1.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC12147590_thumb_phalangeal_osteomyelitis\mmc1.mp4,no,thumb phalangeal osteomyelitis reaming and irrigation,no_labels_demo_or_self_supervised_only,Non-fluorescence small-bone osteomyelitis video.,exists,,3741432,e412b008050047c32704842c9ab521766310f031556cf0132d63181497c740d6,2026-07-03T14:00:47.4698797Z
PMC12078111_S001,osteomyelitis_pmc,Treatment for Calcaneal Osteomyelitis with Pseudoarthrosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12078111/,https://pmc.ncbi.nlm.nih.gov/articles/instance/12078111/bin/jprs-02-04-0150-s001.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC12078111_calcaneal_osteomyelitis\jprs-02-04-0150-s001.mp4,no,calcaneal osteomyelitis reconstruction,no_labels_demo_or_self_supervised_only,Non-fluorescence reconstruction video.,not_downloaded_recaptcha,NCBI/Google reCAPTCHA page was returned; removed local HTML placeholder and skip rapid retry,,,2026-07-03T12:44:03.351318+00:00
PMC4405963_V001,osteomyelitis_pmc,Tuberculous osteomyelitis of the maxilla,https://pmc.ncbi.nlm.nih.gov/articles/PMC4405963/,https://pmc.ncbi.nlm.nih.gov/articles/instance/4405963/bin/NJMS-5-188-v001.flv,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC4405963_maxilla_tuberculous_osteomyelitis\NJMS-5-188-v001.flv,no,maxillary tuberculous osteomyelitis case video,no_labels_demo_or_self_supervised_only,Non-fluorescence FLV; transcode before model pipeline use.,exists,,2202527,062ad4ff1b319b0ad9d46961b9167e8052e42238ef79f992b308b8cae629ad8c,2026-07-03T14:00:47.4698797Z
PMC4405963_V002,osteomyelitis_pmc,Tuberculous osteomyelitis of the maxilla,https://pmc.ncbi.nlm.nih.gov/articles/PMC4405963/,https://pmc.ncbi.nlm.nih.gov/articles/instance/4405963/bin/NJMS-5-188-v002.flv,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC4405963_maxilla_tuberculous_osteomyelitis\NJMS-5-188-v002.flv,no,maxillary tuberculous osteomyelitis case video,no_labels_demo_or_self_supervised_only,Non-fluorescence FLV; transcode before model pipeline use.,exists,,1514550,a37221b6284c1e13b400dcee6553f83482e44815b86bbe3d01f5a355cefda87f,2026-07-03T14:00:47.4698797Z
PMC10547659_ESM1,osteomyelitis_pmc,Abscess pulsatility: a sonographic sign of osteomyelitis,https://pmc.ncbi.nlm.nih.gov/articles/PMC10547659/,https://pmc.ncbi.nlm.nih.gov/articles/instance/10547659/bin/13089_2023_339_MOESM1_ESM.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC10547659_osteomyelitis_ultrasound\13089_2023_339_MOESM1_ESM.mp4,no,osteomyelitis ultrasound diagnostic video,no_labels_demo_or_self_supervised_only,Non-fluorescence ultrasound video.,exists,,1156925,3f489c3c21eac59ac84300acf63f77e37c309a96fadb3d4bd6175faf229997b9,2026-07-03T14:00:47.4698797Z
PMC12914110_MMC1,osteomyelitis_pmc,Mucormycotic osteomyelitis following anterior cruciate ligament reconstruction,https://pmc.ncbi.nlm.nih.gov/articles/PMC12914110/,https://pmc.ncbi.nlm.nih.gov/articles/instance/12914110/bin/mmc1.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC12914110_mucormycotic_osteomyelitis\mmc1.mp4,no,fungal osteomyelitis case video,no_labels_demo_or_self_supervised_only,Non-fluorescence case video.,exists,,838548,8510e082e6cc705fbfc7c857c0781217d6b1c765f063124542d971e891f3b8f4,2026-07-03T14:00:47.4698797Z
PMC12914110_MMC2,osteomyelitis_pmc,Mucormycotic osteomyelitis following anterior cruciate ligament reconstruction,https://pmc.ncbi.nlm.nih.gov/articles/PMC12914110/,https://pmc.ncbi.nlm.nih.gov/articles/instance/12914110/bin/mmc2.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC12914110_mucormycotic_osteomyelitis\mmc2.mp4,no,fungal osteomyelitis case video,no_labels_demo_or_self_supervised_only,Non-fluorescence case video.,not_downloaded_recaptcha,NCBI/Google reCAPTCHA page was returned; removed local HTML placeholder and skip rapid retry,,,2026-07-03T12:44:03.363232+00:00
PMC12914110_MMC3,osteomyelitis_pmc,Mucormycotic osteomyelitis following anterior cruciate ligament reconstruction,https://pmc.ncbi.nlm.nih.gov/articles/PMC12914110/,https://pmc.ncbi.nlm.nih.gov/articles/instance/12914110/bin/mmc3.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC12914110_mucormycotic_osteomyelitis\mmc3.mp4,no,fungal osteomyelitis case video,no_labels_demo_or_self_supervised_only,Non-fluorescence case video.,exists,,2833611,dff8869d6d75216095a119f191da464b03690ec09145e307fe21c1d5cfc8d14e,2026-07-03T14:00:47.4698797Z
PMC12879947_S001,osteomyelitis_pmc,Tibialization of Fibula for Large Segment Tibia Loss Following Chronic Osteomyelitis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12879947/,https://pmc.ncbi.nlm.nih.gov/articles/instance/12879947/bin/gox-14-e7440-s001.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC12879947_chronic_osteomyelitis_reconstruction\gox-14-e7440-s001.mp4,no,chronic osteomyelitis reconstruction,no_labels_demo_or_self_supervised_only,Non-fluorescence reconstruction video.,exists,,3164159,b8853c24bfd3143cb734d74b2167138f520cd3e156bcb225c8ccdc4b0de387e2,2026-07-03T14:00:47.4698797Z
PMC12456365_V1,osteomyelitis_pmc,A rare case report of metacarpal osteomyelitis following a domestic cat bite,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456365/,https://pmc.ncbi.nlm.nih.gov/articles/instance/12456365/bin/JDRS-2025-36-3-763-771-V1.mp4,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\osteomyelitis_pmc\PMC12456365_metacarpal_osteomyelitis\JDRS-2025-36-3-763-771-V1.mp4,no,metacarpal osteomyelitis case video,no_labels_demo_or_self_supervised_only,Non-fluorescence small-bone osteomyelitis video.,exists,,16596161,ca3b0de6c2638c6200ac63a57a070f5854383030c02cc1ed0c11b3e58afbf375,2026-07-03T14:00:47.4698797Z
DRYAD_OFDVDNET_DATA,fluorescence_proxy,OFDVDnet fluorescence-guided surgery video dataset,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\data.zip,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,ICG-like fluorescence proxy; not osteomyelitis.,downloaded,downloaded via headed browser after direct Dryad validation page,3068420375,b38d3e64dd074fc6684488639a187cda92957c52704cfe17e54b3b346807ed37,2026-07-03T14:00:47.4698797Z
DRYAD_OFDVDNET_README,fluorescence_proxy,OFDVDnet fluorescence-guided surgery video dataset README,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3082579,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\README.md,yes,mock chicken-thigh fluorescence-guided surgery,documentation,Source README.,downloaded,,1094,e5eba5c15dc00d2d75e1aadf4b3ab5600ebfdbb3aca700730350f05e7dd58106,2026-07-03T14:00:47.4698797Z
DRYAD_FGS_DATA_MODELS,fluorescence_proxy,FGS video denoising dataset and models,https://datadryad.org/dataset/doi:10.5061/dryad.8gtht76x9,https://datadryad.org/downloads/file_stream/3822101,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\fgs_video_denoising_dryad_8gtht76x9\FGS_Data_and_Models.zip,yes,mock fluorescence-guided surgery,enhancement_or_self_supervised_only,Large ICG-like fluorescence proxy; not osteomyelitis.,not_downloaded_antibot_or_large,Dryad data zip is about 34GB; direct download returned validation HTML; skip rapid retry,,,2026-07-03T12:44:02.657464+00:00
DRYAD_FGS_README,fluorescence_proxy,FGS video denoising dataset README,https://datadryad.org/dataset/doi:10.5061/dryad.8gtht76x9,https://datadryad.org/downloads/file_stream/3822102,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\fgs_video_denoising_dryad_8gtht76x9\README.md,yes,mock fluorescence-guided surgery,documentation,Source README.,downloaded,,4953,fa97a26299d15b457a6bbffcfda4c5b693f53bf9575f5e6c4953c9de6badc24e,2026-07-03T14:00:47.4698797Z
OFDVDNET_001,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121707-000004-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,47809411,,
OFDVDNET_002,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121809-000007-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,94840220,,
OFDVDNET_003,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-121933-000010-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,99375639,,
OFDVDNET_005,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-123850-000005-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,39833851,,
OFDVDNET_006,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-123923-000006-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,74404427,,
OFDVDNET_007,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124515-000009-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,48794290,,
OFDVDNET_008,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124634-000012-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,50920765,,
OFDVDNET_009,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124746-000015-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,56901709,,
OFDVDNET_010,fluorescence_proxy_ofdvdnet,OFDVDnet fluorescence-guided surgery proxy video,https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzh3w,https://datadryad.org/downloads/file_stream/3078626,C:\Users\876762330\Desktop\projects\osteo-vision\research\datasets\public-candidates\d046_fluorescence_osteomyelitis_videos\raw\fluorescence_proxy\ofdvdnet_dryad_v6wwpzh3w\extracted\OL-2021-07-20-124901-000018-record.mp4,yes,mock chicken-thigh fluorescence-guided surgery,enhancement_or_self_supervised_only,OFDVDnet mock chicken-thigh FGS proxy; not jaw osteomyelitis or real intraoperative target-domain data.,exists,,35583079,,
